time,open,high,low,close,volume
01-06-2021,37293.79297,37896.73438,35787.08594,36684.92578,34639423297
02-06-2021,36699.92188,38231.33984,35966.30859,37575.17969,33070867190
03-06-2021,37599.41016,39478.95313,37243.97266,39208.76563,35460750427
04-06-2021,39242.48438,39242.48438,35717.72266,36894.40625,41831090187
05-06-2021,36880.15625,37917.71484,34900.41406,35551.95703,35959473399
06-06-2021,35538.60938,36436.42188,35304.57813,35862.37891,28913440585
07-06-2021,35835.26563,36790.57031,33480.64063,33560.70703,33683936663
08-06-2021,33589.51953,34017.38672,31114.44336,33472.63281,49902050442
09-06-2021,33416.97656,37537.37109,32475.86523,37345.12109,53972919008
10-06-2021,37389.51563,38334.32422,35847.59375,36702.59766,43576032854
11-06-2021,36697.03125,37608.69531,36044.44922,37334.39844,38699736985
12-06-2021,37340.14453,37408.92578,34728.19141,35552.51563,37924228550
13-06-2021,35555.78906,39322.78125,34864.10938,39097.85938,40669112838
14-06-2021,39016.96875,40978.36328,38757.28516,40218.47656,43148914673
15-06-2021,40427.16797,41295.26953,39609.46875,40406.26953,46420149185
16-06-2021,40168.69141,40516.77734,38176.03516,38347.0625,39211635100
17-06-2021,38341.42188,39513.67188,37439.67578,38053.50391,37096670047
18-06-2021,38099.47656,38187.26172,35255.85547,35787.24609,36200887275
19-06-2021,35854.52734,36457.79688,34933.0625,35615.87109,31207279719
20-06-2021,35563.14063,36059.48438,33432.07422,35698.29688,36664034054
21-06-2021,35641.14453,35721.64063,31295.93555,31676.69336,52809038594
22-06-2021,31622.37695,33292.45313,28893.62109,32505.66016,58964353058
23-06-2021,32515.71484,34753.41016,31772.63281,33723.02734,46317108925
24-06-2021,33682.80078,35228.85156,32385.21484,34662.4375,33123368116
25-06-2021,34659.10547,35487.24609,31350.88477,31637.7793,40230904226
26-06-2021,31594.66406,32637.58789,30184.50195,32186.27734,38585385521
27-06-2021,32287.52344,34656.12891,32071.75781,34649.64453,35511640894
28-06-2021,34679.12109,35219.89063,33902.07422,34434.33594,33892523752
29-06-2021,34475.55859,36542.10938,34252.48438,35867.77734,37901460044
30-06-2021,35908.38672,36074.75781,34086.15234,35040.83594,34059036099
01-07-2021,35035.98438,35035.98438,32883.78125,33572.11719,37838957079
02-07-2021,33549.60156,33939.58984,32770.67969,33897.04688,38728974942
03-07-2021,33854.42188,34909.26172,33402.69531,34668.54688,24383958643
04-07-2021,34665.56641,35937.56641,34396.47656,35287.78125,24924307911
