asset,dropped_channel,tweets_dropped,pct_dropped,lrr_F,lrr_p,lrr_sig,pr_F,pr_p,pr_sig,hits_F,hits_p,hits_sig
BTC,naval,1865,0.53,12.043,0.0,*,5.356,0.0,*,6.434,0.0002,*
BTC,nayibbukele,4063,1.16,11.983,0.0,*,4.502,0.0001,*,6.278,0.0003,*
BTC,noshitcoins,2359,0.67,12.044,0.0,*,4.908,0.0,*,6.015,0.0004,*
BTC,novogratz,788,0.22,12.156,0.0,*,4.787,0.0,*,5.966,0.0005,*
BTC,orangepillpod,1855,0.53,11.959,0.0,*,4.979,0.0,*,6.369,0.0003,*
BTC,ournetwork__,82,0.02,12.097,0.0,*,4.862,0.0,*,5.968,0.0005,*
BTC,pete_rizzo_,1610,0.46,12.307,0.0,*,4.702,0.0,*,5.857,0.0006,*
BTC,real_vijay,1312,0.37,12.072,0.0,*,4.833,0.0,*,5.959,0.0005,*
BTC,saylor,1405,0.4,12.102,0.0,*,4.827,0.0,*,5.9,0.0005,*
BTC,shapeshift_io,5,0.0,12.113,0.0,*,4.835,0.0,*,5.951,0.0005,*
BTC,solana,1787,0.51,12.038,0.0,*,4.821,0.0,*,5.972,0.0005,*
BTC,todayindefi,489,0.14,12.086,0.0,*,4.875,0.0,*,5.975,0.0005,*
BTC,zhusu,2349,0.67,12.102,0.0,*,4.824,0.0,*,5.847,0.0006,*
ETH,0xPolygon,3670,1.05,11.795,0.0,*,4.934,0.0,*,6.369,0.0003,*
ETH,100trillionUSD,3215,0.92,12.395,0.0,*,4.801,0.0,*,6.243,0.0003,*
ETH,APompliano,10940,3.12,11.204,0.0,*,4.927,0.0,*,5.894,0.0005,*
ETH,AndreCronje123,40,0.01,12.174,0.0,*,4.907,0.0,*,6.339,0.0003,*
ETH,AndreCronjeTech,1506,0.43,11.635,0.0,*,4.938,0.0,*,6.447,0.0002,*
ETH,BTCTN,12128,3.46,11.19,0.0,*,5.569,0.0,*,6.279,0.0003,*
ETH,BY_DeFi,1239,0.35,12.306,0.0,*,4.839,0.0,*,6.313,0.0003,*
ETH,BarrySilbert,1750,0.5,10.799,0.0,*,8.22,0.0,*,5.518,0.0009,*
ETH,Bitcoin,1389,0.4,17.626,0.0,*,5.676,0.0,*,11.101,0.0,*
ETH,BitcoinMagazine,14566,4.15,12.355,0.0,*,7.667,0.0,*,4.921,0.0021,*
ETH,Blockstream,1791,0.51,12.09,0.0,*,4.991,0.0,*,6.294,0.0003,*
ETH,Blockworks_,8992,2.56,11.759,0.0,*,5.072,0.0,*,6.405,0.0003,*
ETH,CoinDesk,23659,6.74,11.763,0.0,*,8.79,0.0,*,6.97,0.0001,*
ETH,CoinDeskMarkets,777,0.22,12.183,0.0,*,4.905,0.0,*,6.374,0.0003,*
ETH,CoinMarketCap,9791,2.79,11.833,0.0,*,5.346,0.0,*,6.612,0.0002,*
ETH,Cointelegraph,57717,16.45,14.328,0.0,*,8.213,0.0,*,6.747,0.0002,*
ETH,CointelegraphZN,460,0.13,12.15,0.0,*,4.918,0.0,*,6.328,0.0003,*
ETH,DefiantNews,4813,1.37,12.759,0.0,*,4.649,0.0,*,6.169,0.0004,*
ETH,DylanLeClair_,8131,2.32,13.478,0.0,*,4.519,0.0001,*,5.952,0.0005,*
ETH,ErikVoorhees,6016,1.71,11.489,0.0,*,4.931,0.0,*,6.581,0.0002,*
ETH,Grayscale,1154,0.33,12.064,0.0,*,4.933,0.0,*,6.365,0.0003,*
ETH,IOHK_Charles,3058,0.87,12.428,0.0,*,4.707,0.0,*,6.307,0.0003,*
ETH,JamieCrawleyCD,1003,0.29,12.233,0.0,*,4.864,0.0,*,6.378,0.0003,*
ETH,Liquid_BTC,735,0.21,12.342,0.0,*,4.838,0.0,*,6.293,0.0003,*
ETH,NeerajKA,10890,3.1,11.949,0.0,*,4.612,0.0,*,6.354,0.0003,*
ETH,NischalShetty,3238,0.92,12.347,0.0,*,4.83,0.0,*,6.241,0.0003,*
ETH,OurNetwork__,324,0.09,12.206,0.0,*,4.918,0.0,*,6.343,0.0003,*
ETH,RaoulGMI,8498,2.42,11.831,0.0,*,5.272,0.0,*,6.485,0.0002,*
ETH,SatoshiLite,1174,0.33,0.912,0.3397,,7.138,0.0076,*,3.504,0.0614,
ETH,ShapeShift_io,480,0.14,12.204,0.0,*,4.913,0.0,*,6.358,0.0003,*
ETH,Stacks,2296,0.65,11.921,0.0,*,4.973,0.0,*,6.313,0.0003,*
ETH,THORChain,5086,1.45,12.134,0.0,*,4.693,0.0,*,6.351,0.0003,*
ETH,Tanzeel_Akhtar,999,0.28,12.131,0.0,*,4.938,0.0,*,6.397,0.0003,*
ETH,Unchained_pod,3129,0.89,12.088,0.0,*,4.961,0.0,*,6.419,0.0003,*
ETH,VitalikButerin,2642,0.75,62.903,0.0,*,6.613,0.0002,*,3.802,0.0099,*
ETH,WeekInEthNews,775,0.22,11.819,0.0,*,5.054,0.0,*,6.38,0.0003,*
ETH,aantonop,357,0.1,12.999,0.0,*,10.106,0.0,*,10.498,0.0,*
ETH,adam3us,10092,2.88,10.985,0.0,*,8.143,0.0,*,5.516,0.0009,*
ETH,binance,9071,2.59,11.907,0.0,*,4.425,0.0001,*,6.309,0.0003,*
ETH,bitfinex,1473,0.42,11.961,0.0,*,4.89,0.0,*,6.406,0.0003,*
ETH,brian_armstrong,1285,0.37,17.515,0.0,*,12.694,0.0,*,1.041,0.3535,
ETH,coinbase,1145,0.33,10.369,0.0,*,6.344,0.0,*,4.843,0.0023,*
ETH,coindanslecoin,637,0.18,12.364,0.0,*,4.743,0.0,*,6.363,0.0003,*
ETH,coingecko,5085,1.45,10.579,0.0,*,4.857,0.0,*,5.945,0.0005,*
ETH,coinmetrics,1306,0.37,12.197,0.0,*,4.895,0.0,*,6.25,0.0003,*
ETH,cryptocom,3334,0.95,11.981,0.0,*,5.133,0.0,*,6.37,0.0003,*
ETH,cz_binance,6897,1.97,12.258,0.0,*,5.035,0.0,*,6.124,0.0004,*
ETH,danheld,8192,2.34,12.497,0.0,*,4.407,0.0001,*,6.147,0.0004,*
ETH,defipulse,923,0.26,12.094,0.0,*,4.95,0.0,*,6.376,0.0003,*
ETH,elonmusk,7783,2.22,11.605,0.0,*,7.934,0.0,*,5.648,0.0008,*
ETH,ethereum,561,0.16,6.378,0.0017,*,8.688,0.0,*,6.313,0.0003,*
ETH,ethereumJoseph,210,0.06,15.957,0.0,*,14.129,0.0,*,5.297,0.0012,*
ETH,ethhub_io,24,0.01,16.939,0.0,*,4.514,0.0037,*,2.505,0.0575,
ETH,godbole17,3507,1.0,12.089,0.0,*,4.951,0.0,*,6.409,0.0003,*
ETH,iamjosephyoung,472,0.13,12.181,0.0,*,4.955,0.0,*,6.394,0.0003,*
ETH,krakenfx,1700,0.48,11.976,0.0,*,5.081,0.0,*,6.464,0.0002,*
ETH,lawmaster,3874,1.1,13.217,0.0,*,4.645,0.0,*,5.953,0.0005,*
ETH,lopp,6062,1.73,12.303,0.0,*,4.692,0.0,*,6.294,0.0003,*
ETH,maxkeiser,25777,7.35,9.699,0.0001,*,5.708,0.0,*,5.567,0.0008,*
ETH,mcshane_writes,5870,1.67,41.408,0.0,*,12.172,0.0,*,6.21,0.0001,*
ETH,mcuban,2455,0.7,12.597,0.0,*,4.675,0.0,*,6.233,0.0003,*
ETH,muneeb,2327,0.66,12.097,0.0,*,4.72,0.0,*,6.503,0.0002,*
ETH,namcios,2341,0.67,12.248,0.0,*,4.851,0.0,*,6.411,0.0003,*
ETH,naval,1865,0.53,12.11,0.0,*,5.461,0.0,*,6.867,0.0001,*
ETH,nayibbukele,4063,1.16,12.055,0.0,*,4.533,0.0001,*,6.795,0.0001,*
ETH,noshitcoins,2359,0.67,12.103,0.0,*,4.975,0.0,*,6.411,0.0003,*
ETH,novogratz,788,0.22,12.198,0.0,*,4.866,0.0,*,6.366,0.0003,*
ETH,orangepillpod,1855,0.53,12.004,0.0,*,5.049,0.0,*,6.632,0.0002,*
ETH,ournetwork__,82,0.02,12.146,0.0,*,4.933,0.0,*,6.369,0.0003,*
ETH,pete_rizzo_,1610,0.46,12.356,0.0,*,4.76,0.0,*,6.252,0.0003,*
ETH,real_vijay,1312,0.37,12.136,0.0,*,4.895,0.0,*,6.366,0.0003,*
ETH,saylor,1405,0.4,12.159,0.0,*,4.899,0.0,*,6.282,0.0003,*
ETH,shapeshift_io,5,0.0,12.163,0.0,*,4.903,0.0,*,6.352,0.0003,*
ETH,solana,1787,0.51,12.087,0.0,*,4.903,0.0,*,6.379,0.0003,*
ETH,todayindefi,489,0.14,12.136,0.0,*,4.948,0.0,*,6.377,0.0003,*
ETH,zhusu,2349,0.67,12.162,0.0,*,4.89,0.0,*,6.25,0.0003,*
DOGE,0xPolygon,3670,1.05,13.784,0.0,*,5.15,0.0,*,6.527,0.0002,*
DOGE,100trillionUSD,3215,0.92,13.576,0.0,*,5.005,0.0,*,6.402,0.0003,*
DOGE,APompliano,10940,3.12,11.283,0.0,*,5.138,0.0,*,6.073,0.0004,*
DOGE,AndreCronje123,40,0.01,13.825,0.0,*,5.125,0.0,*,6.503,0.0002,*
DOGE,AndreCronjeTech,1506,0.43,11.782,0.0,*,5.114,0.0,*,6.609,0.0002,*
DOGE,BTCTN,12128,3.46,14.055,0.0,*,5.874,0.0,*,6.43,0.0002,*
DOGE,BY_DeFi,1239,0.35,13.923,0.0,*,5.062,0.0,*,6.475,0.0002,*
DOGE,BarrySilbert,1750,0.5,13.628,0.0,*,8.482,0.0,*,5.667,0.0007,*
DOGE,Bitcoin,1389,0.4,21.041,0.0,*,5.971,0.0,*,10.356,0.0,*
DOGE,BitcoinMagazine,14566,4.15,14.929,0.0,*,5.014,0.0,*,4.994,0.0019,*
DOGE,Blockstream,1791,0.51,13.948,0.0,*,5.21,0.0,*,6.453,0.0002,*
DOGE,Blockworks_,8992,2.56,13.874,0.0,*,5.296,0.0,*,6.576,0.0002,*
DOGE,CoinDesk,23659,6.74,11.975,0.0,*,5.156,0.0,*,7.105,0.0001,*
DOGE,CoinDeskMarkets,777,0.22,13.76,0.0,*,5.115,0.0,*,6.537,0.0002,*
DOGE,CoinMarketCap,9791,2.79,13.587,0.0,*,5.614,0.0,*,6.768,0.0002,*
DOGE,Cointelegraph,57717,16.45,14.582,0.0,*,4.785,0.0,*,6.898,0.0001,*
DOGE,CointelegraphZN,460,0.13,13.932,0.0,*,5.127,0.0,*,6.492,0.0002,*
DOGE,DefiantNews,4813,1.37,13.708,0.0,*,4.838,0.0,*,6.328,0.0003,*
DOGE,DylanLeClair_,8131,2.32,13.839,0.0,*,4.741,0.0,*,6.097,0.0004,*
DOGE,ErikVoorhees,6016,1.71,14.746,0.0,*,5.164,0.0,*,6.729,0.0002,*
DOGE,Grayscale,1154,0.33,13.9,0.0,*,5.134,0.0,*,6.53,0.0002,*
DOGE,IOHK_Charles,3058,0.87,13.678,0.0,*,4.932,0.0,*,6.467,0.0002,*
DOGE,JamieCrawleyCD,1003,0.29,13.603,0.0,*,5.057,0.0,*,6.542,0.0002,*
DOGE,Liquid_BTC,735,0.21,13.667,0.0,*,5.032,0.0,*,6.453,0.0002,*
DOGE,NeerajKA,10890,3.1,13.662,0.0,*,4.879,0.0,*,6.536,0.0002,*
DOGE,NischalShetty,3238,0.92,13.639,0.0,*,5.045,0.0,*,6.41,0.0003,*
DOGE,OurNetwork__,324,0.09,13.759,0.0,*,5.135,0.0,*,6.505,0.0002,*
DOGE,RaoulGMI,8498,2.42,13.743,0.0,*,5.406,0.0,*,6.617,0.0002,*
DOGE,SatoshiLite,1174,0.33,1.035,0.3092,,7.921,0.0049,*,3.706,0.0544,
DOGE,ShapeShift_io,480,0.14,13.874,0.0,*,5.129,0.0,*,6.523,0.0002,*
DOGE,Stacks,2296,0.65,13.79,0.0,*,5.171,0.0,*,6.473,0.0002,*
DOGE,THORChain,5086,1.45,13.437,0.0,*,4.9,0.0,*,6.525,0.0002,*
DOGE,Tanzeel_Akhtar,999,0.28,13.842,0.0,*,5.153,0.0,*,6.558,0.0002,*
DOGE,Unchained_pod,3129,0.89,13.616,0.0,*,5.154,0.0,*,6.577,0.0002,*
DOGE,VitalikButerin,2642,0.75,13.638,0.0,*,3.953,0.0003,*,3.835,0.0094,*
DOGE,WeekInEthNews,775,0.22,14.06,0.0,*,5.267,0.0,*,6.544,0.0002,*
DOGE,aantonop,357,0.1,8.796,0.0,*,9.237,0.0,*,10.582,0.0,*
DOGE,adam3us,10092,2.88,14.02,0.0,*,4.457,0.0001,*,5.639,0.0008,*
DOGE,binance,9071,2.59,12.09,0.0,*,4.693,0.0,*,6.476,0.0002,*
DOGE,bitfinex,1473,0.42,13.802,0.0,*,5.111,0.0,*,6.569,0.0002,*
DOGE,brian_armstrong,1285,0.37,17.524,0.0,*,12.627,0.0,*,0.985,0.3738,
DOGE,coinbase,1145,0.33,10.518,0.0,*,6.657,0.0,*,5.041,0.0018,*
DOGE,coindanslecoin,637,0.18,13.814,0.0,*,4.96,0.0,*,6.525,0.0002,*
DOGE,coingecko,5085,1.45,10.736,0.0,*,5.007,0.0,*,6.076,0.0004,*
DOGE,coinmetrics,1306,0.37,13.833,0.0,*,5.107,0.0,*,6.415,0.0003,*
DOGE,cryptocom,3334,0.95,13.774,0.0,*,5.362,0.0,*,6.53,0.0002,*
DOGE,cz_binance,6897,1.97,12.427,0.0,*,5.266,0.0,*,6.287,0.0003,*
DOGE,danheld,8192,2.34,13.565,0.0,*,4.583,0.0,*,6.295,0.0003,*
DOGE,defipulse,923,0.26,13.714,0.0,*,5.15,0.0,*,6.544,0.0002,*
DOGE,elonmusk,7783,2.22,11.776,0.0,*,4.556,0.0,*,5.793,0.0006,*
DOGE,ethereum,561,0.16,6.326,0.0018,*,8.509,0.0,*,6.411,0.0003,*
DOGE,ethereumJoseph,210,0.06,13.99,0.0,*,3.507,0.001,*,5.502,0.0009,*
DOGE,ethhub_io,24,0.01,13.643,0.0,*,3.627,0.0007,*,2.457,0.0613,
DOGE,godbole17,3507,1.0,13.562,0.0,*,5.119,0.0,*,6.574,0.0002,*
DOGE,iamjosephyoung,472,0.13,13.89,0.0,*,5.158,0.0,*,6.566,0.0002,*
DOGE,krakenfx,1700,0.48,14.082,0.0,*,5.298,0.0,*,6.629,0.0002,*
DOGE,lawmaster,3874,1.1,13.427,0.0,*,4.852,0.0,*,6.096,0.0004,*
DOGE,lopp,6062,1.73,13.699,0.0,*,4.911,0.0,*,6.461,0.0002,*
DOGE,maxkeiser,25777,7.35,5.37,0.0003,*,5.716,0.0,*,6.006,0.0005,*
DOGE,mcshane_writes,5870,1.67,40.357,0.0,*,13.022,0.0,*,6.132,0.0001,*
DOGE,mcuban,2455,0.7,13.52,0.0,*,4.883,0.0,*,6.397,0.0003,*
DOGE,muneeb,2327,0.66,13.703,0.0,*,4.927,0.0,*,6.659,0.0002,*
DOGE,namcios,2341,0.67,13.656,0.0,*,5.075,0.0,*,6.571,0.0002,*
DOGE,naval,1865,0.53,12.233,0.0,*,5.753,0.0,*,7.046,0.0001,*
DOGE,nayibbukele,4063,1.16,13.803,0.0,*,4.778,0.0,*,6.945,0.0001,*
DOGE,noshitcoins,2359,0.67,13.724,0.0,*,5.203,0.0,*,6.584,0.0002,*
DOGE,novogratz,788,0.22,13.52,0.0,*,5.068,0.0,*,6.529,0.0002,*
DOGE,orangepillpod,1855,0.53,13.942,0.0,*,5.254,0.0,*,6.917,0.0001,*
DOGE,ournetwork__,82,0.02,13.828,0.0,*,5.146,0.0,*,6.533,0.0002,*
DOGE,pete_rizzo_,1610,0.46,13.927,0.0,*,4.977,0.0,*,6.41,0.0003,*
DOGE,real_vijay,1312,0.37,13.764,0.0,*,5.125,0.0,*,6.539,0.0002,*
DOGE,saylor,1405,0.4,13.613,0.0,*,5.101,0.0,*,6.452,0.0002,*
DOGE,shapeshift_io,5,0.0,13.803,0.0,*,5.116,0.0,*,6.516,0.0002,*
DOGE,solana,1787,0.51,13.854,0.0,*,5.1,0.0,*,6.543,0.0002,*
DOGE,todayindefi,489,0.14,13.823,0.0,*,5.155,0.0,*,6.542,0.0002,*
DOGE,zhusu,2349,0.67,13.608,0.0,*,5.086,0.0,*,6.416,0.0003,*
LTC,0xPolygon,3670,1.05,11.937,0.0,*,5.045,0.0,*,6.326,0.0003,*
LTC,100trillionUSD,3215,0.92,12.541,0.0,*,4.892,0.0,*,6.199,0.0003,*
LTC,APompliano,10940,3.12,11.32,0.0,*,5.008,0.0,*,5.858,0.0006,*
LTC,AndreCronje123,40,0.01,12.332,0.0,*,5.002,0.0,*,6.297,0.0003,*
LTC,AndreCronjeTech,1506,0.43,11.788,0.0,*,8.572,0.0,*,6.409,0.0003,*
LTC,BTCTN,12128,3.46,11.38,0.0,*,5.607,0.0,*,6.246,0.0003,*
LTC,BY_DeFi,1239,0.35,12.474,0.0,*,4.923,0.0,*,6.269,0.0003,*
LTC,BarrySilbert,1750,0.5,10.942,0.0,*,8.214,0.0,*,5.504,0.0009,*
LTC,Bitcoin,1389,0.4,18.118,0.0,*,5.503,0.0,*,10.317,0.0,*
LTC,BitcoinMagazine,14566,4.15,12.565,0.0,*,7.603,0.0,*,4.832,0.0024,*
LTC,Blockstream,1791,0.51,12.244,0.0,*,5.087,0.0,*,6.245,0.0003,*
LTC,Blockworks_,8992,2.56,11.901,0.0,*,5.192,0.0,*,6.349,0.0003,*
LTC,CoinDesk,23659,6.74,11.978,0.0,*,8.706,0.0,*,6.9,0.0001,*
LTC,CoinDeskMarkets,777,0.22,12.347,0.0,*,4.998,0.0,*,6.33,0.0003,*
LTC,CoinMarketCap,9791,2.79,12.017,0.0,*,5.441,0.0,*,6.565,0.0002,*
LTC,Cointelegraph,57717,16.45,14.69,0.0,*,8.185,0.0,*,6.681,0.0002,*
LTC,CointelegraphZN,460,0.13,12.31,0.0,*,5.013,0.0,*,6.286,0.0003,*
LTC,DefiantNews,4813,1.37,12.914,0.0,*,4.74,0.0,*,6.127,0.0004,*
LTC,DylanLeClair_,8131,2.32,13.681,0.0,*,4.589,0.0,*,5.909,0.0005,*
LTC,ErikVoorhees,6016,1.71,11.636,0.0,*,5.01,0.0,*,6.542,0.0002,*
LTC,Grayscale,1154,0.33,12.208,0.0,*,5.029,0.0,*,6.322,0.0003,*
LTC,IOHK_Charles,3058,0.87,12.603,0.0,*,4.812,0.0,*,6.256,0.0003,*
LTC,JamieCrawleyCD,1003,0.29,12.4,0.0,*,4.962,0.0,*,6.337,0.0003,*
LTC,Liquid_BTC,735,0.21,12.509,0.0,*,4.937,0.0,*,6.247,0.0003,*
LTC,NeerajKA,10890,3.1,12.034,0.0,*,4.704,0.0,*,6.305,0.0003,*
LTC,NischalShetty,3238,0.92,12.517,0.0,*,4.926,0.0,*,6.196,0.0003,*
LTC,OurNetwork__,324,0.09,12.365,0.0,*,5.015,0.0,*,6.301,0.0003,*
LTC,RaoulGMI,8498,2.42,11.974,0.0,*,5.434,0.0,*,6.431,0.0002,*
LTC,SatoshiLite,1174,0.33,0.934,0.334,,7.397,0.0066,*,3.587,0.0584,
LTC,ShapeShift_io,480,0.14,12.36,0.0,*,5.008,0.0,*,6.316,0.0003,*
LTC,Stacks,2296,0.65,12.078,0.0,*,5.071,0.0,*,6.268,0.0003,*
LTC,THORChain,5086,1.45,12.278,0.0,*,4.795,0.0,*,6.308,0.0003,*
LTC,Tanzeel_Akhtar,999,0.28,12.285,0.0,*,5.036,0.0,*,6.354,0.0003,*
LTC,Unchained_pod,3129,0.89,12.25,0.0,*,5.056,0.0,*,6.378,0.0003,*
LTC,VitalikButerin,2642,0.75,62.263,0.0,*,6.44,0.0002,*,3.647,0.0122,*
LTC,WeekInEthNews,775,0.22,11.973,0.0,*,5.148,0.0,*,6.338,0.0003,*
LTC,aantonop,357,0.1,12.789,0.0,*,9.61,0.0,*,10.332,0.0,*
LTC,adam3us,10092,2.88,11.01,0.0,*,8.045,0.0,*,0.155,0.8563,
LTC,binance,9071,2.59,12.1,0.0,*,8.451,0.0,*,6.273,0.0003,*
LTC,bitfinex,1473,0.42,12.12,0.0,*,4.995,0.0,*,6.363,0.0003,*
