asset,period,n,LRR_to_omega_p,LRR_to_omega_sig,omega_to_LRR_p,omega_to_LRR_sig,LRR_LTD,PR_LTD
SOL,Bull,158,,,,,0.1875,0.3125
SOL,Bear,446,0.4586,n.s.,0.0191,*,0.0667,0.2
SOL,Full,604,0.0,***,0.0,***,0.082,0.1803
