time,0
2021-06-02,
2021-06-03,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-13,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-19,
2021-06-20,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-26,
2021-06-27,
2021-06-28,
2021-06-29,
2021-06-30,
2021-07-01,
2021-07-02,
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,
2021-07-07,
2021-07-08,
2021-07-09,
2021-07-10,-0.15052897441421878
2021-07-11,-0.15171722891486814
2021-07-12,-0.1482523366021922
2021-07-13,-0.14572867054684469
2021-07-14,-0.15021668445763242
2021-07-15,-0.1422262289270568
2021-07-16,-0.13688108213028355
2021-07-17,-0.1366096741357624
2021-07-18,-0.13708411484273195
2021-07-19,-0.13048943913526775
2021-07-20,-0.13066802984112216
2021-07-21,-0.13013098000459328
2021-07-22,-0.1322190678543352
2021-07-23,-0.13728423508794757
2021-07-24,-0.13816710823072217
2021-07-25,-0.1373658291427917
2021-07-26,-0.137993580260979
2021-07-27,-0.13803647214885534
2021-07-28,-0.13787453625932544
2021-07-29,-0.1387035734286586
2021-07-30,-0.13980333262100764
2021-07-31,-0.13291277953632202
2021-08-01,-0.1339754289120719
2021-08-02,-0.1336398927488649
2021-08-03,-0.13505690624547034
2021-08-04,-0.13462748220976942
2021-08-05,-0.13619243396327896
2021-08-06,-0.1402650979912933
2021-08-07,-0.1402804058846873
2021-08-08,-0.139679742081342
2021-08-09,-0.13894779791383827
2021-08-10,-0.14213892163112332
2021-08-11,-0.13960514313004707
2021-08-12,-0.14844775799114748
2021-08-13,-0.151816256607711
2021-08-14,-0.14495612379178463
2021-08-15,-0.12347981341568597
2021-08-16,-0.16380265941057362
2021-08-17,-0.17781309780488322
2021-08-18,-0.16235746018407007
2021-08-19,-0.15863462117878283
2021-08-20,0.03531097230413378
2021-08-21,0.03416461529294174
2021-08-22,0.09244482682614286
2021-08-23,0.09503241295284555
2021-08-24,0.07239892437427124
2021-08-25,0.07673714851049504
2021-08-26,0.03760100112772007
2021-08-27,0.07293098281371059
2021-08-28,0.07701211572968782
2021-08-29,0.09439129506863142
2021-08-30,0.07043269305549543
2021-08-31,0.10896839547718638
2021-09-01,0.16905337885538205
2021-09-02,0.1487905442564514
2021-09-03,0.14519698080947335
2021-09-04,0.1511064527173419
2021-09-05,0.14428191510458674
2021-09-06,0.10631142401677633
2021-09-07,0.12178068187742709
2021-09-08,0.13125964393794642
2021-09-09,0.1324809145375802
2021-09-10,0.13444545290111623
2021-09-11,0.15210099985488879
2021-09-12,0.11741791433882666
2021-09-13,0.10864800179362766
2021-09-14,0.11088747993190928
2021-09-15,0.11583800501328137
2021-09-16,0.13848612458756931
2021-09-17,0.14680066625453203
2021-09-18,0.19600549009351556
2021-09-19,0.2038570458052887
2021-09-20,0.14236251193956526
2021-09-21,0.1199571455869387
2021-09-22,0.10704101308987997
2021-09-23,0.10447163417264846
2021-09-24,0.1287576696591679
2021-09-25,0.14963617440801744
2021-09-26,0.14697678712757947
2021-09-27,0.15989375349601379
2021-09-28,0.16392619294340147
2021-09-29,0.1500477575173435
2021-09-30,0.1691011280216431
2021-10-01,0.19311265691721194
2021-10-02,0.19356563260860754
2021-10-03,0.19089956585708853
2021-10-04,0.17210833994281713
2021-10-05,0.1728307836668433
2021-10-06,0.15531386664482327
2021-10-07,0.15866051434148376
2021-10-08,0.15873330237392638
2021-10-09,0.15129908674977732
2021-10-10,0.13790949696088556
2021-10-11,0.12841646307363344
2021-10-12,0.14835249312092072
2021-10-13,0.14430532904000104
2021-10-14,0.14659508339080848
2021-10-15,0.16515091161845907
2021-10-16,0.17026497781763208
2021-10-17,0.1264862777472365
2021-10-18,0.12719777889027997
2021-10-19,0.11824031758222611
2021-10-20,0.09261434738532615
2021-10-21,0.0942257761699973
2021-10-22,0.09729719514674605
2021-10-23,0.09819540178878314
2021-10-24,0.09966751956724322
2021-10-25,0.10096845147877975
2021-10-26,0.03702734692951331
2021-10-27,0.045820031895555544
2021-10-28,0.06102397362002772
2021-10-29,0.07559491857901858
2021-10-30,0.07072659806362973
2021-10-31,0.06974702342362929
2021-11-01,0.09228059325471653
2021-11-02,0.10054759400574069
2021-11-03,0.08411248900552563
2021-11-04,0.08055642482502638
2021-11-05,0.08201220901431173
2021-11-06,0.04941542202484402
2021-11-07,0.05474884527170769
2021-11-08,0.05595890167065261
2021-11-09,0.04585366987209356
2021-11-10,0.047875760427404025
2021-11-11,0.07735931591049333
2021-11-12,0.08429588314452977
2021-11-13,0.0757135758919328
2021-11-14,0.0751353372859802
2021-11-15,0.054193924731672095
2021-11-16,0.07209361234067932
2021-11-17,0.015861135132009832
2021-11-18,0.049405426382066776
2021-11-19,0.09172956970060904
2021-11-20,0.13712904648972363
2021-11-21,0.16337643665555276
2021-11-22,0.1478323193886408
2021-11-23,0.10621096600274403
2021-11-24,0.12024477765610288
2021-11-25,0.13890653989166196
2021-11-26,0.13601905958922725
2021-11-27,0.13353100324238992
2021-11-28,0.12867749101639625
2021-11-29,0.1613176897854676
2021-11-30,0.11479307404312969
2021-12-01,0.09408147113157422
2021-12-02,0.0837183758243672
2021-12-03,0.0892765817265784
2021-12-04,0.12431953357651385
2021-12-05,0.1721609841342281
2021-12-06,0.17411106204472657
2021-12-07,0.16553168371192642
2021-12-08,0.1801339020271259
2021-12-09,0.21899954713344102
2021-12-10,0.23273939328701135
2021-12-11,0.20671283301015544
2021-12-12,0.2179248395690432
2021-12-13,0.2009863835662953
2021-12-14,0.15857282341022882
2021-12-15,0.1662229995754649
2021-12-16,0.16043672883981985
2021-12-17,0.16145270135667084
2021-12-18,0.16878706006959324
2021-12-19,0.153300752565382
2021-12-20,0.12161659928975706
2021-12-21,0.12300966287578212
2021-12-22,0.12387915770556468
2021-12-23,0.13591313424165768
2021-12-24,0.1418876236383857
2021-12-25,0.14306253843236022
2021-12-26,0.12757686366233092
2021-12-27,0.09887782970121799
2021-12-28,0.07586297913902766
2021-12-29,0.06577648110999033
2021-12-30,0.0563525828844674
2021-12-31,0.058863739727002956
2022-01-01,0.02793803600782132
2022-01-02,0.025902438328716155
2022-01-03,0.05197039100417632
2022-01-04,0.023310927959558612
2022-01-05,0.02719694949560989
2022-01-06,0.03370630706984796
2022-01-07,0.04414127632531045
2022-01-08,0.07943628316685937
2022-01-09,0.07849355249420145
2022-01-10,0.08685962639124102
2022-01-11,0.1024335122141135
2022-01-12,0.12711003772732243
2022-01-13,0.12450238937381035
2022-01-14,0.12182801918860832
2022-01-15,0.09462720202791301
2022-01-16,0.0946700622250148
2022-01-17,0.03975477841069452
2022-01-18,0.10968017830448037
2022-01-19,0.11387221087033868
2022-01-20,0.07190701790254893
2022-01-21,0.17497202985024757
2022-01-22,0.14086404782507345
2022-01-23,0.14392783715919133
2022-01-24,0.10259873614775462
2022-01-25,0.09660312089200937
2022-01-26,0.10917486064191868
2022-01-27,0.13516081827220353
2022-01-28,0.11873528129805866
2022-01-29,0.10525731001975536
2022-01-30,0.11523195770259351
2022-01-31,0.150469244273885
2022-02-01,0.1582426842645429
2022-02-02,0.18114146050676205
2022-02-03,0.17910910081478876
2022-02-04,0.10039044667714736
2022-02-05,0.09534542573601645
2022-02-06,0.09625196612111489
2022-02-07,0.08455023579098557
2022-02-08,0.05965912616200258
2022-02-09,0.06991643875104382
2022-02-10,0.07165132801402091
2022-02-11,0.12870024143895326
2022-02-12,0.12814079836778816
2022-02-13,0.12916376432423518
2022-02-14,0.12654116905888027
2022-02-15,0.11381404514039302
2022-02-16,0.10934543660189129
2022-02-17,0.12382176895249203
2022-02-18,0.13749353119482582
2022-02-19,0.14453453234315997
2022-02-20,0.14652897908558357
2022-02-21,0.12794451447119642
2022-02-22,0.12445657138674796
2022-02-23,0.12065155982354993
2022-02-24,0.09370151094873687
2022-02-25,0.06813676011857207
2022-02-26,0.09631891191200684
2022-02-27,0.11577142636375207
2022-02-28,0.1669967629582222
2022-03-01,0.16621243322646814
2022-03-02,0.15551575896164035
2022-03-03,0.15476994186700688
2022-03-04,0.11903781349267094
2022-03-05,0.12167058237390797
2022-03-06,0.14015708360811713
2022-03-07,0.14643278191966214
2022-03-08,0.14455401063127757
2022-03-09,0.14755532324083998
2022-03-10,0.1543754470527977
2022-03-11,0.14152975223188502
2022-03-12,0.13312321616979836
2022-03-13,0.11388698464886715
2022-03-14,0.12537163883916547
2022-03-15,0.11686198539455553
2022-03-16,0.07495229231021058
2022-03-17,0.07575351753633637
2022-03-18,0.09284480939358042
2022-03-19,0.07235562502716865
2022-03-20,0.06504862793339504
2022-03-21,0.062390416996209015
2022-03-22,0.02490159368970791
2022-03-23,0.07139525586460689
2022-03-24,0.01825269287878482
2022-03-25,0.06415553962753878
2022-03-26,0.05859623632747658
2022-03-27,0.06099398077011986
2022-03-28,0.0579652560014285
2022-03-29,0.06980126869808216
2022-03-30,0.10202392886210426
2022-03-31,0.11366699103048589
2022-04-01,0.10162107735858672
2022-04-02,0.11137728212534662
2022-04-03,0.07862834247326585
2022-04-04,0.07542941059167153
2022-04-05,0.11527116676326142
2022-04-06,0.10728439925748336
2022-04-07,0.08007637819922328
2022-04-08,0.10518898694064731
2022-04-09,0.11929632704193294
2022-04-10,0.12017500880651288
2022-04-11,0.07080122849445246
2022-04-12,0.03332261501994704
2022-04-13,0.03220674301494217
