asset,regime,n_obs,LRR_RMSE,LRR_MAE,LRR_DA,AR1_RMSE,AR1_DA,LRR_beats_AR
LTC,CALM,104,0.030632,0.02276,0.4327,0.030604,0.4327,False
LTC,CRISIS,17,0.083828,0.058992,0.5882,0.083827,0.5882,False
LTC,FULL,121,0.042353,0.027851,0.4545,0.042335,0.4545,False
