Lag,LRR_to_Price_r,LRR_to_Price_p,LRR_to_Price_sig,Omega_to_Price_r,Omega_to_Price_p,Omega_to_Price_sig,Omega_to_LRR_r,Omega_to_LRR_p,Omega_to_LRR_sig,LRR_to_Omega_r,LRR_to_Omega_p,LRR_to_Omega_sig
t-1,0.03092,0.4485,,0.052903,0.1945,,-0.135069,0.0009,***,0.024382,0.5501,
t-2,0.023624,0.5629,,-0.048816,0.2317,,0.066321,0.104,,0.199903,0.0,***
t-3,0.029851,0.4651,,0.047239,0.2476,,-0.165379,0.0,***,-0.025318,0.5356,
t-4,-0.044029,0.2816,,-0.065955,0.1065,,0.025973,0.5254,,0.039072,0.3394,
t-5,-0.016704,0.6833,,-0.0138,0.7361,,0.123816,0.0024,**,0.077994,0.0564,
t-6,-0.05616,0.1702,,-0.026096,0.5242,,0.243877,0.0,***,-0.054977,0.1794,
t-7,-0.018744,0.6476,,-0.014326,0.7269,,-0.1125,0.0059,**,-0.210418,0.0,***
