Model,RMSE,MAE,DA
RandomWalk,0.07843252806123954,0.04672921609694675,0.0
AR(1),0.07843354427240205,0.046942210718698814,0.4380165289256198
LRR-VAR,0.07843740418127206,0.04691538241631866,0.4380165289256198
