asset,period,n,LRR_to_omega_p,LRR_to_omega_sig,omega_to_LRR_p,omega_to_LRR_sig,LRR_LTD,PR_LTD
LTC,Bull,158,,,,,0.1875,0.25
LTC,Bear,446,0.4595,n.s.,0.0204,*,0.0667,0.0667
LTC,Full,604,0.0,***,0.0,***,0.0984,0.1311
