asset,period,n,LRR_to_omega_p,LRR_to_omega_sig,omega_to_LRR_p,omega_to_LRR_sig,LRR_LTD,PR_LTD
XRP,Bull,158,,,,,0.125,0.125
XRP,Bear,446,0.4191,n.s.,0.022,*,0.0667,0.2
XRP,Full,604,0.0,***,0.0,***,0.082,0.1967
