Model,RMSE,MAE,DA
RandomWalk,0.042147653158920835,0.02772238263075338,0.0
AR(1),0.042335339231903205,0.027843546980511443,0.45454545454545453
LRR-VAR,0.042352784799331376,0.027850730229403098,0.45454545454545453
