Lag,LRR_to_Price_r,LRR_to_Price_p,LRR_to_Price_sig,Omega_to_Price_r,Omega_to_Price_p,Omega_to_Price_sig,Omega_to_LRR_r,Omega_to_LRR_p,Omega_to_LRR_sig,LRR_to_Omega_r,LRR_to_Omega_p,LRR_to_Omega_sig
t-1,0.10159,0.0126,*,0.0621,0.1277,,-0.135474,0.0009,***,0.024538,0.5476,
t-2,0.050189,0.2188,,-0.051996,0.2027,,0.067846,0.0963,,0.199503,0.0,***
t-3,0.03628,0.3746,,0.019098,0.6403,,-0.167171,0.0,***,-0.02586,0.5269,
t-4,-0.043929,0.2827,,-0.057651,0.1584,,0.028079,0.4924,,0.039575,0.3332,
t-5,0.006142,0.8808,,-0.040866,0.318,,0.123065,0.0026,**,0.077668,0.0575,
t-6,-0.066243,0.1056,,-0.033121,0.4188,,0.243932,0.0,***,-0.054587,0.1825,
t-7,-0.017749,0.6652,,0.002392,0.9535,,-0.1123,0.006,**,-0.209885,0.0,***
