asset,regime,n_obs,LRR_RMSE,LRR_MAE,LRR_DA,AR1_RMSE,AR1_DA,LRR_beats_AR
XRP,CALM,108,0.027997,0.021682,0.5,0.028037,0.4722,True
XRP,CRISIS,13,0.091473,0.068708,0.5385,0.091474,0.5385,False
XRP,FULL,121,0.039982,0.026734,0.5041,0.040008,0.4793,True
