Model,RMSE,MAE,DA
RandomWalk,0.026946209428264836,0.016546929093303984,0.0
AR(1),0.02697927633854458,0.016550284577845624,0.5041322314049587
LRR-VAR,0.02698412798052144,0.016541204545615827,0.512396694214876
