asset,regime,n_obs,LRR_RMSE,LRR_MAE,LRR_DA,AR1_RMSE,AR1_DA,LRR_beats_AR
DOGE,CALM,99,0.036125,0.026667,0.5455,0.036181,0.5455,False
DOGE,CRISIS,22,0.134932,0.092054,0.5,0.134956,0.5,False
DOGE,FULL,121,0.066167,0.038556,0.5372,0.0662,0.5372,False
