Model,RMSE,MAE,DA
RandomWalk,0.04000693403420458,0.026747099445533266,0.0
AR(1),0.04000756584185235,0.026753699710444844,0.4793388429752066
LRR-VAR,0.039982066781826385,0.02673426060384309,0.5041322314049587
