Lag,LRR_to_Price_r,LRR_to_Price_p,LRR_to_Price_sig,Omega_to_Price_r,Omega_to_Price_p,Omega_to_Price_sig,Omega_to_LRR_r,Omega_to_LRR_p,Omega_to_LRR_sig,LRR_to_Omega_r,LRR_to_Omega_p,LRR_to_Omega_sig
t-1,0.084546,0.0379,*,0.038658,0.3433,,-0.133844,0.001,***,0.024345,0.5507,
t-2,0.024085,0.5553,,-0.050305,0.2178,,0.067237,0.0993,,0.200779,0.0,***
t-3,-0.009437,0.8174,,0.03887,0.3415,,-0.162691,0.0001,***,-0.025846,0.5271,
t-4,-0.048248,0.238,,-0.082706,0.0429,*,0.026419,0.5183,,0.039669,0.332,
t-5,-0.006524,0.8734,,-0.035631,0.384,,0.12389,0.0024,**,0.077445,0.0582,
t-6,-0.06637,0.1049,,-0.00933,0.8199,,0.243293,0.0,***,-0.055174,0.1778,
t-7,-0.012908,0.753,,-0.024544,0.5495,,-0.113231,0.0056,**,-0.210706,0.0,***
