Model,RMSE,MAE,DA
RandomWalk,0.0659795733752003,0.03864792722844394,0.0
AR(1),0.06620040311463711,0.03857872044640016,0.5371900826446281
LRR-VAR,0.06616669817306042,0.03855561990249847,0.5371900826446281
