asset,period,n,LRR_to_omega_p,LRR_to_omega_sig,omega_to_LRR_p,omega_to_LRR_sig,LRR_LTD,PR_LTD
ETH,Bull,158,,,,,0.1875,0.1875
ETH,Bear,446,0.4562,n.s.,0.0219,*,0.0889,0.1556
ETH,Full,604,0.0,***,0.0,***,0.1148,0.1639
