asset,regime,n_obs,LRR_RMSE,LRR_MAE,LRR_DA,AR1_RMSE,AR1_DA,LRR_beats_AR
ETH,CALM,112,0.028498,0.020845,0.4821,0.028477,0.4821,False
ETH,FULL,121,0.038762,0.024419,0.4959,0.038752,0.4959,False
