Lag,LRR_to_Price_r,LRR_to_Price_p,LRR_to_Price_sig,Omega_to_Price_r,Omega_to_Price_p,Omega_to_Price_sig,Omega_to_LRR_r,Omega_to_LRR_p,Omega_to_LRR_sig,LRR_to_Omega_r,LRR_to_Omega_p,LRR_to_Omega_sig
t-1,0.047335,0.2458,,-0.004514,0.9119,,-0.134357,0.0009,***,0.024609,0.5464,
t-2,0.040378,0.3226,,-0.049904,0.2215,,0.066841,0.1013,,0.200537,0.0,***
t-3,0.026593,0.5152,,-0.023787,0.5606,,-0.163583,0.0001,***,-0.025721,0.5291,
t-4,-0.047734,0.243,,-0.105482,0.0097,**,0.026428,0.5182,,0.039159,0.3383,
t-5,-0.036327,0.3748,,-0.036715,0.3697,,0.123868,0.0024,**,0.077498,0.058,
t-6,-0.049723,0.2247,,0.012006,0.7695,,0.243531,0.0,***,-0.055271,0.1771,
t-7,-0.002382,0.9537,,-0.053985,0.1878,,-0.113037,0.0057,**,-0.210741,0.0,***
