Model,RMSE,MAE,DA
RandomWalk,0.03872224613587438,0.024402781710775753,0.0
AR(1),0.03875154763537882,0.024413999388811867,0.49586776859504134
LRR-VAR,0.038762226253363896,0.024418601814322472,0.49586776859504134
