asset,regime,n_obs,LRR_RMSE,LRR_MAE,LRR_DA,AR1_RMSE,AR1_DA,LRR_beats_AR
BTC,CALM,120,0.025241,0.01578,0.5167,0.025238,0.5083,True
BTC,FULL,121,0.026984,0.016541,0.5124,0.026979,0.5041,True
